
-384,000000 ;-387,000000 ;-380,000000 ;-369,000000 ;-380,000000 ;-380,000000 ;-377,000000 ;-376,000000 ;-382,000000 ;-391,000000 ;-397,000000 ;-381,000000 ;-405,000000 ;-402,000000 ;-411,000000 ;-408,000000 ;
-344,000000 ;-358,000000 ;-349,000000 ;-357,000000 ;-361,000000 ;-351,000000 ;-348,000000 ;-363,000000 ;-366,000000 ;-366,000000 ;-357,000000 ;-368,000000 ;-374,000000 ;-369,000000 ;-380,000000 ;-384,000000 ;
-382,000000 ;-380,000000 ;-371,000000 ;-362,000000 ;-365,000000 ;-378,000000 ;-381,000000 ;-368,000000 ;-387,000000 ;-380,000000 ;-377,000000 ;-369,000000 ;-397,000000 ;-386,000000 ;-384,000000 ;-388,000000 ;
-343,000000 ;-356,000000 ;-347,000000 ;-359,000000 ;-361,000000 ;-360,000000 ;-352,000000 ;-360,000000 ;-363,000000 ;-359,000000 ;-354,000000 ;-362,000000 ;-366,000000 ;-363,000000 ;-362,000000 ;-371,000000 ;
-385,000000 ;-384,000000 ;-381,000000 ;-369,000000 ;-370,000000 ;-382,000000 ;-382,000000 ;-372,000000 ;-386,000000 ;-384,000000 ;-381,000000 ;-367,000000 ;-385,000000 ;-383,000000 ;-373,000000 ;-376,000000 ;
-347,000000 ;-371,000000 ;-359,000000 ;-368,000000 ;-370,000000 ;-368,000000 ;-359,000000 ;-369,000000 ;-368,000000 ;-366,000000 ;-357,000000 ;-363,000000 ;-368,000000 ;-359,000000 ;-357,000000 ;-358,000000 ;
-403,000000 ;-399,000000 ;-387,000000 ;-383,000000 ;-389,000000 ;-395,000000 ;-391,000000 ;-382,000000 ;-390,000000 ;-389,000000 ;-382,000000 ;-368,000000 ;-386,000000 ;-378,000000 ;-372,000000 ;-367,000000 ;
-381,000000 ;-388,000000 ;-377,000000 ;-383,000000 ;-383,000000 ;-381,000000 ;-375,000000 ;-380,000000 ;-375,000000 ;-373,000000 ;-366,000000 ;-363,000000 ;-367,000000 ;-363,000000 ;-358,000000 ;-358,000000 ;
-428,000000 ;-420,000000 ;-414,000000 ;-412,000000 ;-403,000000 ;-418,000000 ;-411,000000 ;-397,000000 ;-405,000000 ;-398,000000 ;-389,000000 ;-379,000000 ;-390,000000 ;-383,000000 ;-379,000000 ;-364,000000 ;
-407,000000 ;-413,000000 ;-407,000000 ;-412,000000 ;-413,000000 ;-403,000000 ;-396,000000 ;-401,000000 ;-398,000000 ;-389,000000 ;-380,000000 ;-378,000000 ;-377,000000 ;-369,000000 ;-359,000000 ;-357,000000 ;
-475,000000 ;-458,000000 ;-447,000000 ;-438,000000 ;-441,000000 ;-444,000000 ;-434,000000 ;-424,000000 ;-429,000000 ;-429,000000 ;-422,000000 ;-398,000000 ;-401,000000 ;-400,000000 ;-389,000000 ;-372,000000 ;
-484,000000 ;-496,000000 ;-479,000000 ;-480,000000 ;-474,000000 ;-476,000000 ;-462,000000 ;-463,000000 ;-454,000000 ;-446,000000 ;-416,000000 ;-419,000000 ;-402,000000 ;-394,000000 ;-375,000000 ;-380,000000 ;
